Customer ID,Customer Name,Segment,Country,loyalCard,avgMonthlyCharges,gender
CG-12520,Claire Gute,Consumer,United States,0,2607.9455862740483,F
CG-12520,Claire Gute,Consumer,United States,0,257.0592113447833,M
DV-13045,Darrin Van Huff,Corporate,United States,1,309.79445842702023,M
SO-20335,Sean O'Donnell,Consumer,United States,0,3420.2031541596284,F
SO-20335,Sean O'Donnell,Consumer,United States,0,3283.29711089079,M
BH-11710,Brosina Hoffman,Consumer,United States,0,2638.653885679184,F
BH-11710,Brosina Hoffman,Consumer,United States,1,1206.4970257078985,M
BH-11710,Brosina Hoffman,Consumer,United States,1,2742.737418370263,M
BH-11710,Brosina Hoffman,Consumer,United States,0,3444.3471983438094,M
BH-11710,Brosina Hoffman,Consumer,United States,1,1865.1561441534743,M
BH-11710,Brosina Hoffman,Consumer,United States,1,40.48366300776559,M
BH-11710,Brosina Hoffman,Consumer,United States,1,1171.5845895126604,F
AA-10480,Andrew Allen,Consumer,United States,0,308.01954312323613,F
IM-15070,Irene Maddox,Consumer,United States,0,3349.5363294511485,M
HP-14815,Harold Pawlan,Home Office,United States,0,3386.7337557517035,F
HP-14815,Harold Pawlan,Home Office,United States,0,2667.2967094445403,M
PK-19075,Pete Kriz,Consumer,United States,1,2133.1759629222697,F
AG-10270,Alejandro Grove,Consumer,United States,1,1212.7310702056077,M
ZD-21925,Zuschuss Donatelli,Consumer,United States,0,2611.60170653842,F
ZD-21925,Zuschuss Donatelli,Consumer,United States,1,1183.7523742417827,M
ZD-21925,Zuschuss Donatelli,Consumer,United States,1,2320.155354938164,F
KB-16585,Ken Black,Corporate,United States,1,1214.3478839412046,F
KB-16585,Ken Black,Corporate,United States,1,950.7603923933808,M
SF-20065,Sandra Flanagan,Consumer,United States,1,1048.5689771314264,F
EB-13870,Emily Burns,Consumer,United States,0,2768.010852732289,M
EH-13945,Eric Hoffmann,Consumer,United States,0,1848.277815110054,F
EH-13945,Eric Hoffmann,Consumer,United States,0,3213.9718821181064,M
TB-21520,Tracy Blumstein,Consumer,United States,0,1091.7247587753577,M
TB-21520,Tracy Blumstein,Consumer,United States,0,2112.526826715092,M
TB-21520,Tracy Blumstein,Consumer,United States,0,3206.8813576331204,M
TB-21520,Tracy Blumstein,Consumer,United States,0,2691.4726052702918,F
TB-21520,Tracy Blumstein,Consumer,United States,0,2022.468362392412,M
TB-21520,Tracy Blumstein,Consumer,United States,0,2894.2797027069223,M
TB-21520,Tracy Blumstein,Consumer,United States,1,1531.2066013642204,M
MA-17560,Matt Abelman,Home Office,United States,0,533.513450882588,M
GH-14485,Gene Hale,Corporate,United States,1,1664.221693651997,M
GH-14485,Gene Hale,Corporate,United States,0,2097.393245181166,F
SN-20710,Steve Nguyen,Home Office,United States,0,3149.8514829039923,M
SN-20710,Steve Nguyen,Home Office,United States,1,616.899252833363,M
SN-20710,Steve Nguyen,Home Office,United States,1,2657.357681584671,M
SN-20710,Steve Nguyen,Home Office,United States,1,2464.795915981221,M
LC-16930,Linda Cazamias,Corporate,United States,1,3250.386798232389,M
RA-19885,Ruben Ausman,Corporate,United States,0,1673.4708084995534,M
ES-14080,Erin Smith,Corporate,United States,0,1962.8724053637084,F
ON-18715,Odella Nelson,Corporate,United States,1,910.1439065798786,F
ON-18715,Odella Nelson,Corporate,United States,0,2076.43942294569,F
PO-18865,Patrick O'Donnell,Consumer,United States,1,2138.976373308591,M
LH-16900,Lena Hernandez,Consumer,United States,1,1469.1098421382658,M
LH-16900,Lena Hernandez,Consumer,United States,1,1851.1008253777145,F
DP-13000,Darren Powers,Consumer,United States,0,2584.108777798905,F
DP-13000,Darren Powers,Consumer,United States,1,2257.7119664785378,M
DP-13000,Darren Powers,Consumer,United States,0,1349.0129626337118,F
DP-13000,Darren Powers,Consumer,United States,0,1595.807321744922,M
JM-15265,Janet Molinari,Corporate,United States,1,822.5138144384134,M
JM-15265,Janet Molinari,Corporate,United States,0,1194.6008644435203,M
TB-21055,Ted Butterfield,Consumer,United States,1,1829.6118214680591,M
TB-21055,Ted Butterfield,Consumer,United States,1,2719.449742462183,M
TB-21055,Ted Butterfield,Consumer,United States,0,2854.311889615786,M
TB-21055,Ted Butterfield,Consumer,United States,0,91.77539430574365,M
